Full Name,County,State,Population (as of July 2019)
"Campbell County, Wyoming",Campbell County,Wyoming,46341
"Carbon County, Wyoming",Carbon County,Wyoming,14800
"Converse County, Wyoming",Converse County,Wyoming,13822
"Crook County, Wyoming",Crook County,Wyoming,7584
"Fremont County, Wyoming",Fremont County,Wyoming,39261
"Goshen County, Wyoming",Goshen County,Wyoming,13211
"Hot Springs County, Wyoming",Hot Springs County,Wyoming,4413
"Johnson County, Wyoming",Johnson County,Wyoming,8445
"Laramie County, Wyoming",Laramie County,Wyoming,99500
"Lincoln County, Wyoming",Lincoln County,Wyoming,19830
"Natrona County, Wyoming",Natrona County,Wyoming,79858
"Niobrara County, Wyoming",Niobrara County,Wyoming,2356
"Park County, Wyoming",Park County,Wyoming,29194
"Platte County, Wyoming",Platte County,Wyoming,8393
"Sheridan County, Wyoming",Sheridan County,Wyoming,30485
"Sublette County, Wyoming",Sublette County,Wyoming,9831
"Sweetwater County, Wyoming",Sweetwater County,Wyoming,42343
"Teton County, Wyoming",Teton County,Wyoming,23464
"Uinta County, Wyoming",Uinta County,Wyoming,20226
"Washakie County, Wyoming",Washakie County,Wyoming,7805
"Weston County, Wyoming",Weston County,Wyoming,6927
